"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1975","Space: 1999","7.3","10493","1975","1977","tvSeries","tt0072564","https://www.imdb.com/title/tt0072564/","GB","United Kingdom","GB","GB"
"1975","Wonder Woman","7","11416","1975","1979","tvSeries","tt0074074","https://www.imdb.com/title/tt0074074/","US","United States","US","US"
