"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1963","Doctor Who","8.4","41397","1963","1989","tvSeries","tt0056751","https://www.imdb.com/title/tt0056751/","GB","United Kingdom","GB","GB"
"1963","The Outer Limits","8.1","10380","1963","1965","tvSeries","tt0056777","https://www.imdb.com/title/tt0056777/","US","United States","US","US"
