"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2024","X-Men '97","8.7","53032","2024","","tvSeries","tt16026746","https://www.imdb.com/title/tt16026746/","US;KR","United States;Republic of Korea","US","US"
"2024","Fallout","8.3","393144","2024","","tvSeries","tt12637874","https://www.imdb.com/title/tt12637874/","US","United States","US","US"
"2024","Creature Commandos","7.8","27683","2024","","tvSeries","tt26545355","https://www.imdb.com/title/tt26545355/","US","United States","US","US"
"2024","Dark Matter","7.6","74320","2024","","tvSeries","tt19231492","https://www.imdb.com/title/tt19231492/","US","United States","US","US"
"2024","3 Body Problem","7.5","180823","2024","","tvSeries","tt13016388","https://www.imdb.com/title/tt13016388/","GB;US;CN","United Kingdom;United States;China","GB","GB;US"
"2024","Dune: Prophecy","7.3","68018","2024","","tvSeries","tt10466872","https://www.imdb.com/title/tt10466872/","US;CA;HU","United States;Canada;Hungary","US","CA;HU;US"
"2024","Secret Level","7.3","31663","2024","","tvSeries","tt33204697","https://www.imdb.com/title/tt33204697/","US","United States","US","US"
"2024","Agatha All Along","7.2","88798","2024","2024","tvMiniSeries","tt15571732","https://www.imdb.com/title/tt15571732/","US","United States","US","US"
"2024","Batman: Caped Crusader","7.2","16561","2024","","tvSeries","tt14681596","https://www.imdb.com/title/tt14681596/","US","United States","US","US"
"2024","Skeleton Crew","7","44785","2024","2025","tvSeries","tt20600980","https://www.imdb.com/title/tt20600980/","US","United States","US","US"
"2024","Supacell","7","21768","2024","","tvSeries","tt16283758","https://www.imdb.com/title/tt16283758/","GB","United Kingdom","GB","GB"
"2024","Star Wars: Tales of the Empire","7","17521","2024","2024","tvMiniSeries","tt32019314","https://www.imdb.com/title/tt32019314/","US","United States","US","US"
"2024","The Edge of Sleep","7","10045","2024","","tvSeries","tt14527626","https://www.imdb.com/title/tt14527626/","GB;US;CA","United Kingdom;United States;Canada","GB","CA;GB;US"
"2024","Terminator Zero","6.9","13563","2024","2024","tvMiniSeries","tt14153236","https://www.imdb.com/title/tt14153236/","US;JP","United States;Japan","US","US"
"2024","Constellation","6.7","22042","2024","2024","tvSeries","tt19395018","https://www.imdb.com/title/tt19395018/","US;GB;FR","United States;United Kingdom;France","US","FR;GB;US"
"2024","Sunny","6.5","11550","2024","2024","tvSeries","tt18070898","https://www.imdb.com/title/tt18070898/","US","United States","US","US"
"2024","Teacup","6.3","12801","2024","2024","tvSeries","tt27031263","https://www.imdb.com/title/tt27031263/","US","United States","US","US"
"2024","Earth Abides","6.3","7362","2024","2024","tvSeries","tt26443935","https://www.imdb.com/title/tt26443935/","US","United States","US","US"
"2024","Knuckles","6.1","10412","2024","2024","tvMiniSeries","tt18291136","https://www.imdb.com/title/tt18291136/","US;JP;GB;AU;NZ","United States;Japan;United Kingdom;Australia;New Zealand","US","AU;GB;NZ;US"
"2024","Time Bandits","6.1","7424","2024","2024","tvSeries","tt1928307","https://www.imdb.com/title/tt1928307/","GB;US","United Kingdom;United States","GB","GB;US"
"2024","Citadel: Diana","6.1","5075","2024","2024","tvSeries","tt22754212","https://www.imdb.com/title/tt22754212/","IT","Italy","IT","IT"
"2024","The Signal","6","8863","2024","2024","tvMiniSeries","tt25375256","https://www.imdb.com/title/tt25375256/","DE","Germany","DE","DE"
"2024","The Acolyte","4.3","143567","2024","2024","tvSeries","tt12262202","https://www.imdb.com/title/tt12262202/","US","United States","US","US"
