"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2020","Adventure Time: Distant Lands","8.6","10357","2020","2021","tvMiniSeries","tt11165358","https://www.imdb.com/title/tt11165358/","US;KR","United States;Republic of Korea","US","US"
"2020","Kipo and the Age of Wonderbeasts","8.3","8611","2020","2020","tvSeries","tt10482560","https://www.imdb.com/title/tt10482560/","US;KR","United States;Republic of Korea","US","US"
"2020","The Midnight Gospel","8.2","29805","2020","2020","tvSeries","tt11639414","https://www.imdb.com/title/tt11639414/","US","United States","US","US"
"2020","Solar Opposites","7.9","36856","2020","2025","tvSeries","tt8910922","https://www.imdb.com/title/tt8910922/","US;CA","United States;Canada","US","CA;US"
"2020","Upload","7.8","90285","2020","2025","tvSeries","tt7826376","https://www.imdb.com/title/tt7826376/","US","United States","US","US"
"2020","Star Trek: Lower Decks","7.8","30480","2020","2024","tvSeries","tt9184820","https://www.imdb.com/title/tt9184820/","US","United States","US","US"
"2020","Close Enough","7.8","14424","2020","2022","tvSeries","tt6994156","https://www.imdb.com/title/tt6994156/","US","United States","US","US"
"2020","Devs","7.6","57683","2020","2020","tvMiniSeries","tt8134186","https://www.imdb.com/title/tt8134186/","GB;US","United Kingdom;United States","GB","GB;US"
"2020","Star Trek: Picard","7.5","101585","2020","2023","tvSeries","tt8806524","https://www.imdb.com/title/tt8806524/","US","United States","US","US"
"2020","I Am Not Okay with This","7.5","83005","2020","2020","tvSeries","tt9446688","https://www.imdb.com/title/tt9446688/","US","United States","US","US"
"2020","Raised by Wolves","7.4","92914","2020","2022","tvSeries","tt9170108","https://www.imdb.com/title/tt9170108/","US","United States","US","US"
"2020","Tales from the Loop","7.4","26601","2020","2020","tvSeries","tt8741290","https://www.imdb.com/title/tt8741290/","US","United States","US","US"
"2020","Motherland: Fort Salem","7.3","20087","2020","2022","tvSeries","tt9900092","https://www.imdb.com/title/tt9900092/","CA;US","Canada;United States","CA","CA;US"
"2020","Lovecraft Country","7.1","50981","2020","2020","tvSeries","tt6905686","https://www.imdb.com/title/tt6905686/","US","United States","US","US"
"2020","Stargirl","7.1","22167","2020","2022","tvSeries","tt8722888","https://www.imdb.com/title/tt8722888/","US","United States","US","US"
"2020","Into the Night","7","39130","2020","2021","tvSeries","tt10919486","https://www.imdb.com/title/tt10919486/","BE","Belgium","BE","BE"
"2020","Brave New World","7","19195","2020","2020","tvSeries","tt9814116","https://www.imdb.com/title/tt9814116/","US","United States","US","US"
"2020","Truth Seekers","7","16293","2020","2020","tvSeries","tt7907922","https://www.imdb.com/title/tt7907922/","GB;US","United Kingdom;United States","GB","GB;US"
"2020","Snowpiercer","6.9","74965","2020","2024","tvSeries","tt6156584","https://www.imdb.com/title/tt6156584/","US;GB","United States;United Kingdom","US","GB;US"
"2020","Biohackers","6.8","12558","2020","2021","tvSeries","tt9849210","https://www.imdb.com/title/tt9849210/","DE","Germany","DE","DE"
"2020","Avenue 5","6.7","25244","2020","2022","tvSeries","tt10234362","https://www.imdb.com/title/tt10234362/","US;GB","United States;United Kingdom","US","GB;US"
"2020","Utopia","6.7","17020","2020","2020","tvSeries","tt8303474","https://www.imdb.com/title/tt8303474/","US","United States","US","US"
"2020","Next","6.7","6381","2020","2020","tvSeries","tt9315054","https://www.imdb.com/title/tt9315054/","US","United States","US","US"
"2020","Away","6.6","27118","2020","2020","tvSeries","tt8787802","https://www.imdb.com/title/tt8787802/","US","United States","US","US"
"2020","Amazing Stories","6.4","8108","2020","2020","tvSeries","tt5165368","https://www.imdb.com/title/tt5165368/","US","United States","US","US"
"2020","Soulmates","6.4","5939","2020","2020","tvSeries","tt10394844","https://www.imdb.com/title/tt10394844/","US","United States","US","US"
"2020","October Faction","6.2","13417","2020","2020","tvSeries","tt8826128","https://www.imdb.com/title/tt8826128/","US","United States","US","US"
"2020","The Stand","5.7","33469","2020","2021","tvMiniSeries","tt1831804","https://www.imdb.com/title/tt1831804/","US;CA","United States;Canada","US","CA;US"
