"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2015","Daredevil","8.6","532308","2015","2018","tvSeries","tt3322312","https://www.imdb.com/title/tt3322312/","US","United States","US","US"
"2015","The Expanse","8.5","192117","2015","2022","tvSeries","tt3230854","https://www.imdb.com/title/tt3230854/","US","United States","US","US"
"2015","Sense8","8.2","171608","2015","2018","tvSeries","tt2431438","https://www.imdb.com/title/tt2431438/","US","United States","US","US"
"2015","The Ministry of Time","8.2","6118","2015","2020","tvSeries","tt4136774","https://www.imdb.com/title/tt4136774/","ES","Spain","ES","ES"
"2015","The Man in the High Castle","7.9","124300","2015","2019","tvSeries","tt1740299","https://www.imdb.com/title/tt1740299/","US;GB;CA","United States;United Kingdom;Canada","US","CA;GB;US"
"2015","Humans","7.9","46039","2015","2018","tvSeries","tt4122068","https://www.imdb.com/title/tt4122068/","GB;US;SE","United Kingdom;United States;Sweden","GB","GB;SE;US"
"2015","Jessica Jones","7.8","239644","2015","2019","tvSeries","tt2357547","https://www.imdb.com/title/tt2357547/","US","United States","US","US"
"2015","Agent Carter","7.8","94910","2015","2016","tvSeries","tt3475734","https://www.imdb.com/title/tt3475734/","US","United States","US","US"
"2015","12 Monkeys","7.7","53551","2015","2018","tvSeries","tt3148266","https://www.imdb.com/title/tt3148266/","US","United States","US","US"
"2015","Limitless","7.6","75069","2015","2016","tvSeries","tt4422836","https://www.imdb.com/title/tt4422836/","US","United States","US","US"
"2015","You, Me and the Apocalypse","7.6","8369","2015","2022","tvMiniSeries","tt4337894","https://www.imdb.com/title/tt4337894/","GB;US","United Kingdom;United States","GB","GB;US"
"2015","Dark Matter","7.5","47984","2015","2017","tvSeries","tt4159076","https://www.imdb.com/title/tt4159076/","CA","Canada","CA","CA"
"2015","The Last Man on Earth","7.4","68361","2015","2018","tvSeries","tt3230454","https://www.imdb.com/title/tt3230454/","US","United States","US","US"
"2015","Blindspot","7.3","85895","2015","2020","tvSeries","tt4474344","https://www.imdb.com/title/tt4474344/","US","United States","US","US"
"2015","Wayward Pines","7.3","64849","2015","2016","tvSeries","tt2618986","https://www.imdb.com/title/tt2618986/","US","United States","US","US"
"2015","Killjoys","7.2","24731","2015","2019","tvSeries","tt3952222","https://www.imdb.com/title/tt3952222/","CA","Canada","CA","CA"
"2015","Glitch","7.2","23239","2015","2019","tvSeries","tt4192782","https://www.imdb.com/title/tt4192782/","AU","Australia","AU","AU"
"2015","The Whispers","7.1","11325","2015","2015","tvSeries","tt3487410","https://www.imdb.com/title/tt3487410/","US","United States","US","US"
"2015","Fear the Walking Dead","6.8","154043","2015","2023","tvSeries","tt3743822","https://www.imdb.com/title/tt3743822/","US","United States","US","US"
"2015","Childhood's End","6.8","14296","2015","2015","tvMiniSeries","tt4146128","https://www.imdb.com/title/tt4146128/","US","United States","US","US"
"2015","Zoo","6.7","27275","2015","2017","tvSeries","tt3250026","https://www.imdb.com/title/tt3250026/","US","United States","US","US"
"2015","Heroes Reborn","6.6","29731","2015","2016","tvMiniSeries","tt3556944","https://www.imdb.com/title/tt3556944/","US","United States","US","US"
"2015","Powers","6.6","6944","2015","2016","tvSeries","tt1851040","https://www.imdb.com/title/tt1851040/","US","United States","US","US"
"2015","Supergirl","6.2","134912","2015","2021","tvSeries","tt4016454","https://www.imdb.com/title/tt4016454/","US","United States","US","US"
"2015","Between","6","10943","2015","2016","tvSeries","tt4132692","https://www.imdb.com/title/tt4132692/","CA","Canada","CA","CA"
"2015","Minority Report","5.9","10959","2015","2015","tvSeries","tt4450826","https://www.imdb.com/title/tt4450826/","US","United States","US","US"
