"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2012","The Legend of Korra","8.3","151222","2012","2014","tvSeries","tt1695360","https://www.imdb.com/title/tt1695360/","US;KR;JP","United States;Republic of Korea;Japan","US","US"
"2012","Tron: Uprising","8.1","10225","2012","2013","tvSeries","tt1812523","https://www.imdb.com/title/tt1812523/","US;JP;GB","United States;Japan;United Kingdom","US","GB;US"
"2012","Star vs. the Forces of Evil","7.9","22062","2012","2019","tvSeries","tt2758770","https://www.imdb.com/title/tt2758770/","US","United States","US","US"
"2012","Teenage Mutant Ninja Turtles","7.9","18145","2012","2017","tvSeries","tt1877889","https://www.imdb.com/title/tt1877889/","US;MY;NZ","United States;Malaysia;New Zealand","US","NZ;US"
"2012","Awake","7.8","21994","2012","2012","tvSeries","tt1839683","https://www.imdb.com/title/tt1839683/","US","United States","US","US"
"2012","Ãkta mÃ¤nniskor","7.8","7054","2012","2014","tvSeries","tt2180271","https://www.imdb.com/title/tt2180271/","SE","Sweden","SE","SE"
"2012","Continuum","7.6","66651","2012","2015","tvSeries","tt1954347","https://www.imdb.com/title/tt1954347/","CA","Canada","CA","CA"
"2012","Video Game High School","7.6","14294","2012","2014","tvSeries","tt2170584","https://www.imdb.com/title/tt2170584/","US","United States","US","US"
"2012","RWBY","7.6","8214","2012","","tvSeries","tt3066242","https://www.imdb.com/title/tt3066242/","US","United States","US","US"
"2012","Arrow","7.5","461065","2012","2020","tvSeries","tt2193021","https://www.imdb.com/title/tt2193021/","US","United States","US","US"
"2012","Touch","7.3","43978","2012","2013","tvSeries","tt1821681","https://www.imdb.com/title/tt1821681/","US","United States","US","US"
"2012","Last Resort","7.3","22625","2012","2013","tvSeries","tt2172103","https://www.imdb.com/title/tt2172103/","US","United States","US","US"
"2012","Ultimate Spider-Man","7.2","16537","2012","2017","tvSeries","tt1722512","https://www.imdb.com/title/tt1722512/","US","United States","US","US"
"2012","Beauty and the Beast","7","39210","2012","2016","tvSeries","tt2193041","https://www.imdb.com/title/tt2193041/","CA","Canada","CA","CA"
"2012","Avengers Assemble","7","9358","2012","2019","tvSeries","tt2455546","https://www.imdb.com/title/tt2455546/","US","United States","US","US"
"2012","The Neighbors","6.9","9175","2012","2014","tvSeries","tt2182229","https://www.imdb.com/title/tt2182229/","US","United States","US","US"
"2012","666 Park Avenue","6.8","18781","2012","2013","tvSeries","tt2197797","https://www.imdb.com/title/tt2197797/","US","United States","US","US"
"2012","The River","6.8","17431","2012","2012","tvSeries","tt1836195","https://www.imdb.com/title/tt1836195/","US","United States","US","US"
"2012","Halo 4: Forward Unto Dawn","6.7","26775","2012","2012","tvMiniSeries","tt2262308","https://www.imdb.com/title/tt2262308/","US","United States","US","US"
"2012","Ben 10: Omniverse","6.7","10594","2012","2014","tvSeries","tt2293002","https://www.imdb.com/title/tt2293002/","US","United States","US","US"
"2012","Lab Rats","6.7","8666","2012","2016","tvSeries","tt1991564","https://www.imdb.com/title/tt1991564/","US","United States","US","US"
"2012","Revolution","6.6","88159","2012","2014","tvSeries","tt2070791","https://www.imdb.com/title/tt2070791/","US","United States","US","US"
"2012","Primeval: New World","6.5","5119","2012","2013","tvSeries","tt2295953","https://www.imdb.com/title/tt2295953/","CA;GB","Canada;United Kingdom","CA","CA;GB"
