"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1990","Are You Afraid of the Dark?","8.2","17605","1990","2000","tvSeries","tt0103352","https://www.imdb.com/title/tt0103352/","CA","Canada","CA","CA"
"1990","The Flash","7.1","8711","1990","1991","tvSeries","tt0098798","https://www.imdb.com/title/tt0098798/","US","United States","US","US"
"1990","Captain Planet and the Planeteers","6.7","13550","1990","1996","tvSeries","tt0098763","https://www.imdb.com/title/tt0098763/","US;JP;KR;FR","United States;Japan;Republic of Korea;France","US","FR;US"
