"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2022","Severance","8.6","389878","2022","","tvSeries","tt11280740","https://www.imdb.com/title/tt11280740/","US","United States","US","US"
"2022","Andor","8.6","277157","2022","2025","tvSeries","tt9253284","https://www.imdb.com/title/tt9253284/","US","United States","US","US"
"2022","Pantheon","8.5","22208","2022","2023","tvSeries","tt11680642","https://www.imdb.com/title/tt11680642/","US","United States","US","US"
"2022","Peacemaker","8.2","193695","2022","2025","tvSeries","tt13146488","https://www.imdb.com/title/tt13146488/","US","United States","US","US"
"2022","Star Trek: Strange New Worlds","8.2","75334","2022","","tvSeries","tt12327578","https://www.imdb.com/title/tt12327578/","CA;US","Canada;United States","CA","CA;US"
"2022","Star Wars: Tales of the Jedi","8.1","45022","2022","2022","tvMiniSeries","tt20723374","https://www.imdb.com/title/tt20723374/","US","United States","US","US"
"2022","From","7.8","183779","2022","","tvSeries","tt9813792","https://www.imdb.com/title/tt9813792/","US","United States","US","US"
"2022","The Sandman","7.6","209663","2022","2025","tvSeries","tt1751634","https://www.imdb.com/title/tt1751634/","GB;US","United Kingdom;United States","GB","GB;US"
"2022","The Devil's Hour","7.6","33321","2022","","tvSeries","tt14379784","https://www.imdb.com/title/tt14379784/","GB","United Kingdom","GB","GB"
"2022","The Time Traveler's Wife","7.6","20138","2022","2022","tvSeries","tt8783930","https://www.imdb.com/title/tt8783930/","US;GB","United States;United Kingdom","US","GB;US"
"2022","The Peripheral","7.5","91360","2022","2022","tvSeries","tt8291284","https://www.imdb.com/title/tt8291284/","US","United States","US","US"
"2022","Shining Girls","7.4","23966","2022","2022","tvSeries","tt2953250","https://www.imdb.com/title/tt2953250/","US","United States","US","US"
"2022","Kindred","7.4","5123","2022","2022","tvMiniSeries","tt14376190","https://www.imdb.com/title/tt14376190/","US","United States","US","US"
"2022","Halo","7.3","110288","2022","2024","tvSeries","tt2934286","https://www.imdb.com/title/tt2934286/","US","United States","US","US"
"2022","Archive 81","7.3","67725","2022","2022","tvSeries","tt13365348","https://www.imdb.com/title/tt13365348/","US","United States","US","US"
"2022","Night Sky","7.3","26563","2022","2022","tvSeries","tt13361448","https://www.imdb.com/title/tt13361448/","US","United States","US","US"
"2022","Paper Girls","7.3","13119","2022","2022","tvSeries","tt10623646","https://www.imdb.com/title/tt10623646/","US","United States","US","US"
"2022","The Lazarus Project","7.3","12863","2022","2023","tvSeries","tt14190592","https://www.imdb.com/title/tt14190592/","GB","United Kingdom","GB","GB"
"2022","The Man Who Fell to Earth","7.2","11475","2022","2022","tvSeries","tt10758074","https://www.imdb.com/title/tt10758074/","US;GB","United States;United Kingdom","US","GB;US"
"2022","Baymax!","7.2","9584","2022","2022","tvMiniSeries","tt13622958","https://www.imdb.com/title/tt13622958/","US","United States","US","US"
"2022","Hot Skull","7.1","8544","2022","2022","tvMiniSeries","tt11988676","https://www.imdb.com/title/tt11988676/","TR","Turkey","TR","TR"
"2022","Obi-Wan Kenobi","7","262940","2022","2022","tvMiniSeries","tt8466564","https://www.imdb.com/title/tt8466564/","US","United States","US","US"
"2022","Diabolical","6.8","20124","2022","2022","tvMiniSeries","tt16350094","https://www.imdb.com/title/tt16350094/","US","United States","US","US"
"2022","I Am Groot","6.7","46426","2022","2023","tvSeries","tt13623148","https://www.imdb.com/title/tt13623148/","US","United States","US","US"
"2022","The Midwich Cuckoos","6.7","5725","2022","2022","tvSeries","tt14245846","https://www.imdb.com/title/tt14245846/","GB","United Kingdom","GB","GB"
"2022","The Imperfects","6.5","9449","2022","2022","tvSeries","tt14502728","https://www.imdb.com/title/tt14502728/","CA;US","Canada;United States","CA","CA;US"
"2022","Quantum Leap","6.3","14497","2022","2024","tvSeries","tt17043230","https://www.imdb.com/title/tt17043230/","US","United States","US","US"
"2022","In from the Cold","6.3","10722","2022","2022","tvSeries","tt11859542","https://www.imdb.com/title/tt11859542/","US","United States","US","US"
"2022","Ms. Marvel","6.2","131589","2022","2022","tvMiniSeries","tt10857164","https://www.imdb.com/title/tt10857164/","US","United States","US","US"
"2022","Yakamoz S-245","6.2","9583","2022","2022","tvSeries","tt13317454","https://www.imdb.com/title/tt13317454/","TR","Turkey","TR","TR"
"2022","Welcome to Eden","5.7","9126","2022","2023","tvSeries","tt13457822","https://www.imdb.com/title/tt13457822/","ES","Spain","ES","ES"
"2022","She-Hulk: Attorney at Law","5.2","209178","2022","2022","tvMiniSeries","tt10857160","https://www.imdb.com/title/tt10857160/","US","United States","US","US"
"2022","The Guardians of Justice (Will Save You!)","5.1","5773","2022","","tvSeries","tt16549788","https://www.imdb.com/title/tt16549788/","US","United States","US","US"
"2022","Naomi","4.9","6013","2022","2022","tvSeries","tt13624900","https://www.imdb.com/title/tt13624900/","US","United States","US","US"
"2022","Resident Evil","4.2","49612","2022","2022","tvSeries","tt9660182","https://www.imdb.com/title/tt9660182/","DE","Germany","DE","DE"
