"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2026","1","Star Wars: Maul - Shadow Lord","8.6","25539","2026",,"tvSeries","tt36594331","https://www.imdb.com/title/tt36594331/","Sci-Fi","US","United States","US","US"
"2026","2","Spider-Noir","7.9","36226","2026",,"tvSeries","tt30460310","https://www.imdb.com/title/tt30460310/","Sci-Fi","US","United States","US","US"
"2026","3","Wonder Man","7.4","35033","2026","2026","tvSeries","tt21066182","https://www.imdb.com/title/tt21066182/","Sci-Fi","US","United States","US","US"
"2026","4","The Boroughs","7.3","23101","2026",,"tvSeries","tt27557289","https://www.imdb.com/title/tt27557289/","Sci-Fi","US","United States","US","US"
"2026","5","Bait","6.8","5180","2026",,"tvSeries","tt32252887","https://www.imdb.com/title/tt32252887/","Sci-Fi","US;GB","United States;United Kingdom","US","GB;US"
"2026","6","The Beauty","6.6","12464","2026",,"tvSeries","tt33517752","https://www.imdb.com/title/tt33517752/","Sci-Fi","US","United States","US","US"
"2026","7","Stranger Things: Tales from '85","5.9","6173","2026",,"tvSeries","tt27486290","https://www.imdb.com/title/tt27486290/","Sci-Fi","US;AU","United States;Australia","US","AU;US"
"2026","8","Star Trek: Starfleet Academy","4.5","32610","2026","2027","tvSeries","tt8622160","https://www.imdb.com/title/tt8622160/","Sci-Fi","US","United States","US","US"
