"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1977","1","Mind Your Language","8.6","10960","1977","1986","tvSeries","tt0075537","https://www.imdb.com/title/tt0075537/","Comedy","GB","United Kingdom","GB","GB"
"1977","2","Soap","8.3","9357","1977","1981","tvSeries","tt0075584","https://www.imdb.com/title/tt0075584/","Comedy","US","United States","US","US"
"1977","3","The Love Boat","6.3","15510","1977","1987","tvSeries","tt0075529","https://www.imdb.com/title/tt0075529/","Comedy","US","United States","US","US"
