"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1972","1","M*A*S*H","8.5","69380","1972","1983","tvSeries","tt0068098","https://www.imdb.com/title/tt0068098/","Comedy","US","United States","US","US"
"1972","2","The Bob Newhart Show","8.1","7623","1972","1978","tvSeries","tt0068049","https://www.imdb.com/title/tt0068049/","Comedy","US","United States","US","US"
"1972","3","Are You Being Served?","8","10243","1972","1985","tvSeries","tt0068040","https://www.imdb.com/title/tt0068040/","Comedy","GB","United Kingdom","GB","GB"
"1972","4","Sanford and Son","7.9","12100","1972","1978","tvSeries","tt0068128","https://www.imdb.com/title/tt0068128/","Comedy","US","United States","US","US"
"1972","5","Emergency!","7.9","7118","1972","1979","tvSeries","tt0068067","https://www.imdb.com/title/tt0068067/","Comedy","US","United States","US","US"
"1972","6","The New Scooby-Doo Movies","7.6","6340","1972","1973","tvSeries","tt0068112","https://www.imdb.com/title/tt0068112/","Comedy","US;AU","United States;Australia","US","AU;US"
"1972","7","Maude","7.3","5288","1972","1978","tvSeries","tt0068103","https://www.imdb.com/title/tt0068103/","Comedy","US","United States","US","US"
