"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1992","1","The Larry Sanders Show","8.5","10172","1992","1998","tvSeries","tt0103466","https://www.imdb.com/title/tt0103466/","Comedy","US","United States","US","US"
"1992","2","The Adventures of Pete & Pete","8.4","10567","1992","1996","tvSeries","tt0105933","https://www.imdb.com/title/tt0105933/","Comedy","US","United States","US","US"
"1992","3","As Time Goes By","8.3","5538","1992","2005","tvSeries","tt0105943","https://www.imdb.com/title/tt0105943/","Comedy","GB","United Kingdom","GB","GB"
"1992","4","Absolutely Fabulous","8.2","23350","1992","2012","tvSeries","tt0105929","https://www.imdb.com/title/tt0105929/","Comedy","GB","United Kingdom","GB","GB"
"1992","5","Men Behaving Badly","7.7","9185","1992","2014","tvSeries","tt0101143","https://www.imdb.com/title/tt0101143/","Comedy","GB","United Kingdom","GB","GB"
"1992","6","Martin","7.5","12019","1992","1997","tvSeries","tt0103488","https://www.imdb.com/title/tt0103488/","Comedy","US","United States","US","US"
"1992","7","Mad About You","6.8","27192","1992","2019","tvSeries","tt0103484","https://www.imdb.com/title/tt0103484/","Comedy","US","United States","US","US"
"1992","8","Goof Troop","6.8","10036","1992","1993","tvSeries","tt0103428","https://www.imdb.com/title/tt0103428/","Comedy","US;KR;AU;FR;JP;TW;HK","United States;Republic of Korea;Australia;France;Japan;Taiwan (Province of China);Hong Kong (Special Administrative Region of China)","US","AU;FR;US"
"1992","9","The Little Mermaid","6.8","6948","1992","1994","tvSeries","tt0103477","https://www.imdb.com/title/tt0103477/","Comedy","US;CN;HK;TW;VN;KR;JP","United States;China;Hong Kong (Special Administrative Region of China);Taiwan (Province of China);Vietnam;Republic of Korea;Japan","US","US"
"1992","10","The Tonight Show with Jay Leno","5.3","11278","1992","2014","tvSeries","tt0103569","https://www.imdb.com/title/tt0103569/","Comedy","US","United States","US","US"
