"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1986","1","Blackadder II","8.6","53915","1986","1986","tvSeries","tt0088484","https://www.imdb.com/title/tt0088484/","Comedy","GB","United Kingdom","GB","GB"
"1986","2","Yes, Prime Minister","8.6","14739","1986","1987","tvSeries","tt0086831","https://www.imdb.com/title/tt0086831/","Comedy","GB","United Kingdom","GB","GB"
"1986","3","Pee-wee's Playhouse","8.2","6322","1986","1991","tvSeries","tt0090500","https://www.imdb.com/title/tt0090500/","Comedy","US","United States","US","US"
"1986","4","Sledge Hammer!","8.1","8641","1986","1988","tvSeries","tt0090525","https://www.imdb.com/title/tt0090525/","Comedy","US","United States","US","US"
"1986","5","The Real Ghostbusters","7.6","12070","1986","1991","tvSeries","tt0090506","https://www.imdb.com/title/tt0090506/","Comedy","US;CA;JP;FR","United States;Canada;Japan;France","US","CA;FR;US"
"1986","6","ALF","7.4","42614","1986","1990","tvSeries","tt0090390","https://www.imdb.com/title/tt0090390/","Comedy","US","United States","US","US"
"1986","7","Designing Women","7.3","7974","1986","1993","tvSeries","tt0090418","https://www.imdb.com/title/tt0090418/","Comedy","US","United States","US","US"
"1986","8","Perfect Strangers","7.2","12260","1986","1993","tvSeries","tt0090501","https://www.imdb.com/title/tt0090501/","Comedy","US","United States","US","US"
"1986","9","Dennis the Menace","6.2","6427","1986","1988","tvSeries","tt0166910","https://www.imdb.com/title/tt0166910/","Comedy","US;CA;JP","United States;Canada;Japan","US","CA;US"
