"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1985","1","The Bugs Bunny/Looney Tunes Comedy Hour","8.3","18684","1985","1986","tvSeries","tt0088491","https://www.imdb.com/title/tt0088491/","Comedy","US","United States","US","US"
"1985","2","The Golden Girls","8.2","52964","1985","1992","tvSeries","tt0088526","https://www.imdb.com/title/tt0088526/","Comedy","US","United States","US","US"
"1985","3","Moonlighting","7.6","27100","1985","1989","tvSeries","tt0088571","https://www.imdb.com/title/tt0088571/","Comedy","US","United States","US","US"
"1985","4","Amazing Stories","7.4","6955","1985","1987","tvSeries","tt0088478","https://www.imdb.com/title/tt0088478/","Comedy","US","United States","US","US"
"1985","5","Small Wonder","7","5824","1985","1989","tvSeries","tt0088610","https://www.imdb.com/title/tt0088610/","Comedy","US","United States","US","US"
"1985","6","Growing Pains","6.6","17747","1985","1992","tvSeries","tt0088527","https://www.imdb.com/title/tt0088527/","Comedy","US","United States","US","US"
"1985","7","Mr. Belvedere","6.6","5450","1985","1990","tvSeries","tt0088576","https://www.imdb.com/title/tt0088576/","Comedy","US","United States","US","US"
