"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2013","1","Rick and Morty","9","697042","2013",,"tvSeries","tt2861424","https://www.imdb.com/title/tt2861424/","Comedy","US","United States","US","US"
"2013","2","Nathan for You","8.9","50021","2013","2017","tvSeries","tt2297757","https://www.imdb.com/title/tt2297757/","Comedy","US","United States","US","US"
"2013","3","Please Like Me","8.5","20605","2013","2016","tvSeries","tt2155025","https://www.imdb.com/title/tt2155025/","Comedy","AU","Australia","AU","AU"
"2013","4","Brooklyn Nine-Nine","8.4","417801","2013","2021","tvSeries","tt2467372","https://www.imdb.com/title/tt2467372/","Comedy","US","United States","US","US"
"2013","5","My Mad Fat Diary","8.4","19937","2013","2015","tvSeries","tt2407574","https://www.imdb.com/title/tt2407574/","Comedy","GB","United Kingdom","GB","GB"
"2013","6","Whose Line Is It Anyway?","8.4","10496","2013","2024","tvSeries","tt2919910","https://www.imdb.com/title/tt2919910/","Comedy","US","United States","US","US"
"2013","7","Steven Universe","8.1","45034","2013","2019","tvSeries","tt3061046","https://www.imdb.com/title/tt3061046/","Comedy","US;KR","United States;Republic of Korea","US","US"
"2013","8","Vicious","8.1","11129","2013","2016","tvSeries","tt2582590","https://www.imdb.com/title/tt2582590/","Comedy","GB","United Kingdom","GB","GB"
"2013","9","Legit","8.1","9070","2013","2014","tvSeries","tt2400391","https://www.imdb.com/title/tt2400391/","Comedy","US","United States","US","US"
"2013","10","The Moaning of Life","8.1","6924","2013","2015","tvSeries","tt3277670","https://www.imdb.com/title/tt3277670/","Comedy","GB","United Kingdom","GB","GB"
"2013","11","Orange Is the New Black","8","336617","2013","2019","tvSeries","tt2372162","https://www.imdb.com/title/tt2372162/","Comedy","US","United States","US","US"
"2013","12","The Goldbergs","8","44194","2013","2023","tvSeries","tt2712740","https://www.imdb.com/title/tt2712740/","Comedy","US","United States","US","US"
"2013","13","The Fosters","7.9","32614","2013","2018","tvSeries","tt2262532","https://www.imdb.com/title/tt2262532/","Comedy","US","United States","US","US"
"2013","14","In the Flesh","7.9","14609","2013","2014","tvSeries","tt2480514","https://www.imdb.com/title/tt2480514/","Comedy","GB","United Kingdom","GB","GB"
"2013","15","Devious Maids","7.8","27386","2013","2016","tvSeries","tt2226342","https://www.imdb.com/title/tt2226342/","Comedy","US","United States","US","US"
"2013","16","Drunk History","7.8","13907","2013","2019","tvSeries","tt2712612","https://www.imdb.com/title/tt2712612/","Comedy","US","United States","US","US"
"2013","17","Plebs","7.8","11246","2013","2019","tvSeries","tt2731624","https://www.imdb.com/title/tt2731624/","Comedy","GB","United Kingdom","GB","GB"
"2013","18","The Wrong Mans","7.7","8340","2013","2014","tvSeries","tt2603596","https://www.imdb.com/title/tt2603596/","Comedy","GB","United Kingdom","GB","GB"
"2013","19","Maron","7.7","5480","2013","2016","tvSeries","tt2520512","https://www.imdb.com/title/tt2520512/","Comedy","US","United States","US","US"
"2013","20","Man Down","7.6","5869","2013","2017","tvSeries","tt3063454","https://www.imdb.com/title/tt3063454/","Comedy","GB","United Kingdom","GB","GB"
"2013","21","Alpha House","7.5","5050","2013","2014","tvSeries","tt3012160","https://www.imdb.com/title/tt3012160/","Comedy","US","United States","US","US"
