"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2020","1","Ted Lasso","8.7","445203","2020",,"tvSeries","tt10986410","https://www.imdb.com/title/tt10986410/","Comedy","US;GB","United States;United Kingdom","US","GB;US"
"2020","2","How to with John Wilson","8.7","17070","2020","2023","tvSeries","tt10801534","https://www.imdb.com/title/tt10801534/","Comedy","US","United States","US","US"
"2020","3","The Owl House","8.6","25727","2020","2023","tvSeries","tt8050756","https://www.imdb.com/title/tt8050756/","Comedy","US;CA;KR","United States;Canada;Republic of Korea","US","CA;US"
"2020","4","All Creatures Great & Small","8.6","23006","2020","2023","tvSeries","tt10590066","https://www.imdb.com/title/tt10590066/","Comedy","GB","United Kingdom","GB","GB"
"2020","5","Adventure Time: Distant Lands","8.6","10399","2020","2021","tvMiniSeries","tt11165358","https://www.imdb.com/title/tt11165358/","Comedy","US;KR","United States;Republic of Korea","US","US"
"2020","6","Middleditch & Schwartz","8.6","6317","2020","2020","tvSeries","tt12027034","https://www.imdb.com/title/tt12027034/","Comedy","US","United States","US","US"
"2020","7","Smiling Friends","8.5","30691","2020","2026","tvSeries","tt12074628","https://www.imdb.com/title/tt12074628/","Comedy","GB;AU;US","United Kingdom;Australia;United States","GB","AU;GB;US"
"2020","8","Staged","8.5","11786","2020","2023","tvSeries","tt12369754","https://www.imdb.com/title/tt12369754/","Comedy","GB","United Kingdom","GB","GB"
"2020","9","Julie and the Phantoms","8.4","14118","2020","2020","tvSeries","tt10183988","https://www.imdb.com/title/tt10183988/","Comedy","US","United States","US","US"
"2020","10","Kipo and the Age of Wonderbeasts","8.3","8655","2020","2020","tvSeries","tt10482560","https://www.imdb.com/title/tt10482560/","Comedy","US;KR","United States;Republic of Korea","US","US"
"2020","11","The Midnight Gospel","8.2","29870","2020","2020","tvSeries","tt11639414","https://www.imdb.com/title/tt11639414/","Comedy","US","United States","US","US"
"2020","12","Dave","8.2","28109","2020","2023","tvSeries","tt8531222","https://www.imdb.com/title/tt8531222/","Comedy","US","United States","US","US"
"2020","13","James May: Our Man in...","8.2","9758","2020","2024","tvSeries","tt11302324","https://www.imdb.com/title/tt11302324/","Comedy","GB","United Kingdom","GB","GB"
"2020","14","The Great","8.1","65205","2020","2023","tvSeries","tt2235759","https://www.imdb.com/title/tt2235759/","Comedy","US","United States","US","US"
"2020","15","Zoey's Extraordinary Playlist","8.1","20576","2020","2021","tvSeries","tt10314462","https://www.imdb.com/title/tt10314462/","Comedy","US","United States","US","US"
"2020","16","Trying","8","15307","2020","2024","tvSeries","tt10982034","https://www.imdb.com/title/tt10982034/","Comedy","GB","United Kingdom","GB","GB"
"2020","17","Wizards","8","5932","2020","2020","tvMiniSeries","tt7736558","https://www.imdb.com/title/tt7736558/","Comedy","US;MX;IN","United States;Mexico;India","US","US"
"2020","18","Solar Opposites","7.9","36942","2020","2025","tvSeries","tt8910922","https://www.imdb.com/title/tt8910922/","Comedy","US;CA","United States;Canada","US","CA;US"
"2020","19","Love, Victor","7.9","24753","2020","2022","tvSeries","tt10166602","https://www.imdb.com/title/tt10166602/","Comedy","US","United States","US","US"
"2020","20","Aunty Donna's Big Ol' House of Fun","7.9","7528","2020","2020","tvSeries","tt13316746","https://www.imdb.com/title/tt13316746/","Comedy","AU","Australia","AU","AU"
"2020","21","Never Have I Ever","7.8","95071","2020","2023","tvSeries","tt10062292","https://www.imdb.com/title/tt10062292/","Comedy","US","United States","US","US"
"2020","22","Upload","7.8","90379","2020","2025","tvSeries","tt7826376","https://www.imdb.com/title/tt7826376/","Comedy","US","United States","US","US"
"2020","23","Star Trek: Lower Decks","7.8","30521","2020","2024","tvSeries","tt9184820","https://www.imdb.com/title/tt9184820/","Comedy","US","United States","US","US"
"2020","24","Close Enough","7.8","14442","2020","2022","tvSeries","tt6994156","https://www.imdb.com/title/tt6994156/","Comedy","US","United States","US","US"
"2020","25","Mythic Quest","7.7","38044","2020","2025","tvSeries","tt8879940","https://www.imdb.com/title/tt8879940/","Comedy","US","United States","US","US"
"2020","26","High Fidelity","7.7","18375","2020","2020","tvSeries","tt8577458","https://www.imdb.com/title/tt8577458/","Comedy","US","United States","US","US"
"2020","27","Teenage Bounty Hunters","7.6","15876","2020","2020","tvSeries","tt10584608","https://www.imdb.com/title/tt10584608/","Comedy","US","United States","US","US"
"2020","28","McDonald & Dodds","7.6","10324","2020","2024","tvSeries","tt10720914","https://www.imdb.com/title/tt10720914/","Comedy","GB","United Kingdom","GB","GB"
"2020","29","Breeders","7.6","9682","2020","2023","tvSeries","tt8129450","https://www.imdb.com/title/tt8129450/","Comedy","GB;US","United Kingdom;United States","GB","GB;US"
"2020","30","The Good Lord Bird","7.6","8470","2020","2020","tvMiniSeries","tt3673480","https://www.imdb.com/title/tt3673480/","Comedy","US","United States","US","US"
"2020","31","I Am Not Okay with This","7.5","83124","2020","2020","tvSeries","tt9446688","https://www.imdb.com/title/tt9446688/","Comedy","US","United States","US","US"
"2020","32","Hollywood","7.5","43972","2020","2020","tvMiniSeries","tt9827854","https://www.imdb.com/title/tt9827854/","Comedy","US","United States","US","US"
"2020","33","Love Life","7.5","18798","2020","2021","tvSeries","tt10380768","https://www.imdb.com/title/tt10380768/","Comedy","US","United States","US","US"
"2020","34","Feel Good","7.5","15337","2020","2021","tvSeries","tt10098620","https://www.imdb.com/title/tt10098620/","Comedy","GB","United Kingdom","GB","GB"
"2020","35","AJ and the Queen","7.5","10038","2020","2020","tvSeries","tt8404094","https://www.imdb.com/title/tt8404094/","Comedy","US","United States","US","US"
"2020","36","Awkwafina Is Nora from Queens","7.5","7429","2020","2023","tvSeries","tt8494614","https://www.imdb.com/title/tt8494614/","Comedy","US","United States","US","US"
"2020","37","Dash & Lily","7.4","25808","2020","2020","tvMiniSeries","tt1758589","https://www.imdb.com/title/tt1758589/","Comedy","US","United States","US","US"
"2020","38","Love & Anarchy","7.3","13445","2020","2022","tvSeries","tt10888876","https://www.imdb.com/title/tt10888876/","Comedy","SE","Sweden","SE","SE"
"2020","39","The Baby-Sitters Club","7.3","6011","2020","2021","tvSeries","tt8690518","https://www.imdb.com/title/tt8690518/","Comedy","US","United States","US","US"
"2020","40","The Flight Attendant","7","67158","2020","2022","tvSeries","tt7569576","https://www.imdb.com/title/tt7569576/","Comedy","US","United States","US","US"
"2020","41","Truth Seekers","7","16309","2020","2020","tvSeries","tt7907922","https://www.imdb.com/title/tt7907922/","Comedy","GB;US","United Kingdom;United States","GB","GB;US"
"2020","42","Emily in Paris","6.8","142820","2020","2026","tvSeries","tt8962124","https://www.imdb.com/title/tt8962124/","Comedy","US","United States","US","US"
"2020","43","#BlackAF","6.8","5630","2020","2020","tvSeries","tt10311562","https://www.imdb.com/title/tt10311562/","Comedy","US","United States","US","US"
"2020","44","Space Force","6.7","75985","2020","2022","tvSeries","tt9612516","https://www.imdb.com/title/tt9612516/","Comedy","CA;US","Canada;United States","CA","CA;US"
"2020","45","Avenue 5","6.7","25278","2020","2022","tvSeries","tt10234362","https://www.imdb.com/title/tt10234362/","Comedy","US;GB","United States;United Kingdom","US","GB;US"
"2020","46","Valeria","6.7","9617","2020","2025","tvSeries","tt9731288","https://www.imdb.com/title/tt9731288/","Comedy","ES","Spain","ES","ES"
"2020","47","The Duchess","6.7","6360","2020","2020","tvSeries","tt9310390","https://www.imdb.com/title/tt9310390/","Comedy","GB","United Kingdom","GB","GB"
"2020","48","Two Weeks to Live","6.7","5041","2020","2020","tvMiniSeries","tt6075088","https://www.imdb.com/title/tt6075088/","Comedy","GB","United Kingdom","GB","GB"
"2020","49","The Secret of Skinwalker Ranch","6.5","5675","2020",,"tvSeries","tt10589968","https://www.imdb.com/title/tt10589968/","Comedy","US","United States","US","US"
"2020","50","Amazing Stories","6.4","8117","2020","2020","tvSeries","tt5165368","https://www.imdb.com/title/tt5165368/","Comedy","US","United States","US","US"
"2020","51","Intelligence","6.3","5061","2020","2023","tvSeries","tt9454736","https://www.imdb.com/title/tt9454736/","Comedy","GB","United Kingdom","GB","GB"
"2020","52","Run","6.2","8261","2020","2020","tvSeries","tt8045468","https://www.imdb.com/title/tt8045468/","Comedy","US","United States","US","US"
"2020","53","Hoops","6","8103","2020","2020","tvSeries","tt9077562","https://www.imdb.com/title/tt9077562/","Comedy","US","United States","US","US"
"2020","54","The Watch","5.5","6901","2020","2021","tvSeries","tt8080292","https://www.imdb.com/title/tt8080292/","Comedy","GB;US","United Kingdom;United States","GB","GB;US"
"2020","55","Die Hart","5.3","7696","2020",,"tvSeries","tt10726424","https://www.imdb.com/title/tt10726424/","Comedy","US","United States","US","US"
