"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2006","1","The Lost Room","8.1","35015","2006","2006","tvMiniSeries","tt0830361","https://www.imdb.com/title/tt0830361/","Action","US","United States","US","US"
"2006","2","The Unit","8.1","24650","2006","2009","tvSeries","tt0460690","https://www.imdb.com/title/tt0460690/","Action","US","United States","US","US"
"2006","3","Day Break","8","8772","2006","2007","tvSeries","tt0801425","https://www.imdb.com/title/tt0801425/","Action","US","United States","US","US"
"2006","4","Jericho","7.9","61190","2006","2008","tvSeries","tt0805663","https://www.imdb.com/title/tt0805663/","Action","US","United States","US","US"
"2006","5","Torchwood","7.7","45645","2006","2011","tvSeries","tt0485301","https://www.imdb.com/title/tt0485301/","Action","GB;CA;US","United Kingdom;Canada;United States","GB","CA;GB;US"
"2006","6","Broken Trail","7.7","7492","2006","2006","tvMiniSeries","tt0482857","https://www.imdb.com/title/tt0482857/","Action","US;CA","United States;Canada","US","CA;US"
"2006","7","Robin Hood","7.4","18090","2006","2009","tvSeries","tt0787985","https://www.imdb.com/title/tt0787985/","Action","GB","United Kingdom","GB","GB"
"2006","8","Blade: The Series","6.2","6725","2006","2006","tvSeries","tt0823333","https://www.imdb.com/title/tt0823333/","Action","US","United States","US","US"
