"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1994","1","Spider-Man: The Animated Series","8.4","39277","1994","1998","tvSeries","tt0112175","https://www.imdb.com/title/tt0112175/","Action","US","United States","US","US"
"1994","2","Gargoyles","8","20257","1994","1997","tvSeries","tt0108783","https://www.imdb.com/title/tt0108783/","Action","US;JP;CA;HK;CN;TW","United States;Japan;Canada;Hong Kong (Special Administrative Region of China);China;Taiwan (Province of China)","US","CA;US"
"1994","3","ReBoot","7.9","6139","1994","2001","tvSeries","tt0108903","https://www.imdb.com/title/tt0108903/","Action","CA","Canada","CA","CA"
"1994","4","The Tick","7.8","10737","1994","1997","tvSeries","tt0112196","https://www.imdb.com/title/tt0112196/","Action","US;KR","United States;Republic of Korea","US","US"
"1994","5","Aladdin","7.3","14311","1994","1995","tvSeries","tt0105935","https://www.imdb.com/title/tt0105935/","Action","US;AU;JP;PH;CA;BR;TW;KR","United States;Australia;Japan;Philippines;Canada;Brazil;Taiwan (Province of China);Republic of Korea","US","AU;CA;US"
"1994","6","Kommissar Rex","7.2","6862","1994","2004","tvSeries","tt0108829","https://www.imdb.com/title/tt0108829/","Action","AT;DE","Austria;Germany","AT","AT;DE"
