"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1995","1","Star Trek: Voyager","7.9","84489","1995","2001","tvSeries","tt0112178","https://www.imdb.com/title/tt0112178/","Action","US","United States","US","US"
"1995","2","Space: Above and Beyond","7.8","9261","1995","1996","tvSeries","tt0112173","https://www.imdb.com/title/tt0112173/","Action","US;AU","United States;Australia","US","AU;US"
"1995","3","Freakazoid!","7.5","9125","1995","1997","tvSeries","tt0111970","https://www.imdb.com/title/tt0111970/","Action","US;KR;JP","United States;Republic of Korea;Japan","US","US"
"1995","4","The Mask","6.9","14063","1995","1997","tvSeries","tt0112064","https://www.imdb.com/title/tt0112064/","Action","US;KR;CA;PH;TW","United States;Republic of Korea;Canada;Philippines;Taiwan (Province of China)","US","CA;US"
"1995","5","Xena: Warrior Princess","6.8","52126","1995","2001","tvSeries","tt0112230","https://www.imdb.com/title/tt0112230/","Action","US","United States","US","US"
"1995","6","JAG","6.7","21889","1995","2005","tvSeries","tt0112022","https://www.imdb.com/title/tt0112022/","Action","US","United States","US","US"
"1995","7","Hercules: The Legendary Journeys","6.5","33668","1995","1999","tvSeries","tt0111999","https://www.imdb.com/title/tt0111999/","Action","US","United States","US","US"
