"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2025","1","The Mighty Nein","8.4","13092","2025",,"tvSeries","tt26453092","https://www.imdb.com/title/tt26453092/","Action","US","United States","US","US"
"2025","2","Daredevil: Born Again","8.1","107368","2025",,"tvSeries","tt18923754","https://www.imdb.com/title/tt18923754/","Action","US","United States","US","US"
"2025","3","American Primeval","8","85775","2025","2025","tvMiniSeries","tt24069848","https://www.imdb.com/title/tt24069848/","Action","US","United States","US","US"
"2025","4","Paradise","7.9","81365","2025",,"tvSeries","tt27444205","https://www.imdb.com/title/tt27444205/","Action","US","United States","US","US"
"2025","5","Asterix & Obelix: The Big Fight","7.9","7188","2025","2025","tvMiniSeries","tt14164922","https://www.imdb.com/title/tt14164922/","Action","FR;BE","France;Belgium","FR","BE;FR"
"2025","6","Devil May Cry","7.5","31919","2025",,"tvSeries","tt15716776","https://www.imdb.com/title/tt15716776/","Action","US;JP;KR","United States;Japan;Republic of Korea","US","US"
"2025","7","The Terminal List: Dark Wolf","7.5","28732","2025",,"tvSeries","tt26576161","https://www.imdb.com/title/tt26576161/","Action","US","United States","US","US"
"2025","8","Your Friendly Neighborhood Spider-Man","7.5","18741","2025",,"tvSeries","tt16027074","https://www.imdb.com/title/tt16027074/","Action","US;JP","United States;Japan","US","US"
"2025","9","House of David","7.5","14758","2025",,"tvSeries","tt30955673","https://www.imdb.com/title/tt30955673/","Action","US","United States","US","US"
"2025","10","On Call","7.5","13755","2025","2025","tvSeries","tt14582876","https://www.imdb.com/title/tt14582876/","Action","US","United States","US","US"
"2025","11","Murderbot","7.4","40473","2025",,"tvSeries","tt30444310","https://www.imdb.com/title/tt30444310/","Action","US","United States","US","US"
"2025","12","Star Wars: Tales of the Underworld","7.1","9855","2025","2025","tvMiniSeries","tt36414431","https://www.imdb.com/title/tt36414431/","Action","US","United States","US","US"
"2025","13","The Copenhagen Test","7.1","7802","2025","2025","tvSeries","tt31314791","https://www.imdb.com/title/tt31314791/","Action","US","United States","US","US"
"2025","14","Marvel Zombies","7","23583","2025","2026","tvMiniSeries","tt16027014","https://www.imdb.com/title/tt16027014/","Action","US","United States","US","US"
"2025","15","The Bondsman","7","21550","2025","2025","tvSeries","tt28256288","https://www.imdb.com/title/tt28256288/","Action","US","United States","US","US"
"2025","16","NCIS: Tony & Ziva","6.9","5166","2025","2025","tvSeries","tt31512256","https://www.imdb.com/title/tt31512256/","Action","US","United States","US","US"
"2025","17","The Last Frontier","6.7","17884","2025","2025","tvSeries","tt26862142","https://www.imdb.com/title/tt26862142/","Action","US","United States","US","US"
"2025","18","The Hunting Party","6.7","9408","2025",,"tvSeries","tt21906554","https://www.imdb.com/title/tt21906554/","Action","US","United States","US","US"
"2025","19","Butterfly","6.7","9059","2025","2025","tvSeries","tt26672404","https://www.imdb.com/title/tt26672404/","Action","US","United States","US","US"
"2025","20","Spartacus: House of Ashur","6.6","12746","2025","2026","tvMiniSeries","tt29921437","https://www.imdb.com/title/tt29921437/","Action","US","United States","US","US"
"2025","21","Revival","6.6","6386","2025",,"tvSeries","tt13951052","https://www.imdb.com/title/tt13951052/","Action","US","United States","US","US"
"2025","22","Prime Target","6.3","13279","2025","2025","tvSeries","tt31186958","https://www.imdb.com/title/tt31186958/","Action","GB","United Kingdom","GB","GB"
"2025","23","Eyes of Wakanda","6.2","9920","2025","2025","tvMiniSeries","tt13968252","https://www.imdb.com/title/tt13968252/","Action","US","United States","US","US"
"2025","24","Ironheart","4.5","67229","2025","2025","tvMiniSeries","tt13623126","https://www.imdb.com/title/tt13623126/","Action","US","United States","US","US"
