"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1990","1","TaleSpin","7.5","17147","1990","1991","tvSeries","tt0098924","https://www.imdb.com/title/tt0098924/","Action","US;KR;FR;JP;TW;HK","United States;Republic of Korea;France;Japan;Taiwan (Province of China);Hong Kong (Special Administrative Region of China)","US","FR;US"
"1990","2","The Flash","7.1","8716","1990","1991","tvSeries","tt0098798","https://www.imdb.com/title/tt0098798/","Action","US","United States","US","US"
"1990","3","Captain Planet and the Planeteers","6.7","13553","1990","1996","tvSeries","tt0098763","https://www.imdb.com/title/tt0098763/","Action","US;JP;KR;FR","United States;Japan;Republic of Korea;France","US","FR;US"
