"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1987","1","Star Trek: The Next Generation","8.7","149982","1987","1994","tvSeries","tt0092455","https://www.imdb.com/title/tt0092455/","Action","US","United States","US","US"
"1987","2","Tour of Duty","8.3","5559","1987","1999","tvSeries","tt0092468","https://www.imdb.com/title/tt0092468/","Action","US","United States","US","US"
"1987","3","DuckTales","8","37796","1987","1990","tvSeries","tt0092345","https://www.imdb.com/title/tt0092345/","Action","US;TW;JP","United States;Taiwan (Province of China);Japan","US","US"
"1987","4","Teenage Mutant Ninja Turtles","7.9","40732","1987","1996","tvSeries","tt0131613","https://www.imdb.com/title/tt0131613/","Action","US;TW;HU;PH;JP;CN;FR;KR;IE","United States;Taiwan (Province of China);Hungary;Philippines;Japan;China;France;Republic of Korea;Ireland","US","FR;HU;IE;US"
