"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1995","1","Star Trek: Voyager","7.9","84447","1995","2001","tvSeries","tt0112178","https://www.imdb.com/title/tt0112178/","Adventure","US","United States","US","US"
"1995","2","Pinky and the Brain","7.8","35194","1995","1998","tvSeries","tt0112123","https://www.imdb.com/title/tt0112123/","Adventure","US","United States","US","US"
"1995","3","Space: Above and Beyond","7.8","9258","1995","1996","tvSeries","tt0112173","https://www.imdb.com/title/tt0112173/","Adventure","US;AU","United States;Australia","US","AU;US"
"1995","4","Goosebumps","7.6","16906","1995","1998","tvSeries","tt0111987","https://www.imdb.com/title/tt0111987/","Adventure","CA","Canada","CA","CA"
"1995","5","Freakazoid!","7.5","9124","1995","1997","tvSeries","tt0111970","https://www.imdb.com/title/tt0111970/","Adventure","US;KR;JP","United States;Republic of Korea;Japan","US","US"
"1995","6","Sliders","7.4","21944","1995","2000","tvSeries","tt0112167","https://www.imdb.com/title/tt0112167/","Adventure","US","United States","US","US"
"1995","7","Little Bear","7.3","5199","1995","2003","tvSeries","tt0245637","https://www.imdb.com/title/tt0245637/","Adventure","CA;CN;US","Canada;China;United States","CA","CA;US"
"1995","8","Timon & Pumbaa","7","12302","1995","1999","tvSeries","tt0112197","https://www.imdb.com/title/tt0112197/","Adventure","US;KR;PH;AU;TW;CA","United States;Republic of Korea;Philippines;Australia;Taiwan (Province of China);Canada","US","AU;CA;US"
"1995","9","The Sylvester & Tweety Mysteries","7","5801","1995","2002","tvSeries","tt0112186","https://www.imdb.com/title/tt0112186/","Adventure","US;KR;JP;TW","United States;Republic of Korea;Japan;Taiwan (Province of China)","US","US"
"1995","10","The Mask","6.9","14061","1995","1997","tvSeries","tt0112064","https://www.imdb.com/title/tt0112064/","Adventure","US;KR;CA;PH;TW","United States;Republic of Korea;Canada;Philippines;Taiwan (Province of China)","US","CA;US"
"1995","11","Xena: Warrior Princess","6.8","52166","1995","2001","tvSeries","tt0112230","https://www.imdb.com/title/tt0112230/","Adventure","US","United States","US","US"
"1995","12","Hercules: The Legendary Journeys","6.5","33720","1995","1999","tvSeries","tt0111999","https://www.imdb.com/title/tt0111999/","Adventure","US","United States","US","US"
