"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2020","1","The Owl House","8.6","25625","2020","2023","tvSeries","tt8050756","https://www.imdb.com/title/tt8050756/","Adventure","US;CA;KR","United States;Canada;Republic of Korea","US","CA;US"
"2020","2","Adventure Time: Distant Lands","8.6","10357","2020","2021","tvMiniSeries","tt11165358","https://www.imdb.com/title/tt11165358/","Adventure","US;KR","United States;Republic of Korea","US","US"
"2020","3","Julie and the Phantoms","8.4","14087","2020","2020","tvSeries","tt10183988","https://www.imdb.com/title/tt10183988/","Adventure","US","United States","US","US"
"2020","4","Kipo and the Age of Wonderbeasts","8.3","8612","2020","2020","tvSeries","tt10482560","https://www.imdb.com/title/tt10482560/","Adventure","US;KR","United States;Republic of Korea","US","US"
"2020","5","The Midnight Gospel","8.2","29808","2020","2020","tvSeries","tt11639414","https://www.imdb.com/title/tt11639414/","Adventure","US","United States","US","US"
"2020","6","James May: Our Man in...","8.2","9751","2020","2024","tvSeries","tt11302324","https://www.imdb.com/title/tt11302324/","Adventure","GB","United Kingdom","GB","GB"
"2020","7","Long Way Up","8.2","6122","2020","2020","tvSeries","tt12824922","https://www.imdb.com/title/tt12824922/","Adventure","GB","United Kingdom","GB","GB"
"2020","8","Wizards","8","5912","2020","2020","tvMiniSeries","tt7736558","https://www.imdb.com/title/tt7736558/","Adventure","US;MX;IN","United States;Mexico;India","US","US"
"2020","9","Solar Opposites","7.9","36861","2020","2025","tvSeries","tt8910922","https://www.imdb.com/title/tt8910922/","Adventure","US;CA","United States;Canada","US","CA;US"
"2020","10","Star Trek: Lower Decks","7.8","30481","2020","2024","tvSeries","tt9184820","https://www.imdb.com/title/tt9184820/","Adventure","US","United States","US","US"
"2020","11","Close Enough","7.8","14425","2020","2022","tvSeries","tt6994156","https://www.imdb.com/title/tt6994156/","Adventure","US","United States","US","US"
"2020","12","Star Trek: Picard","7.5","101586","2020","2023","tvSeries","tt8806524","https://www.imdb.com/title/tt8806524/","Adventure","US","United States","US","US"
"2020","13","Blood of Zeus","7.5","28660","2020","2025","tvSeries","tt10009170","https://www.imdb.com/title/tt10009170/","Adventure","US","United States","US","US"
"2020","14","Alex Rider","7.5","19665","2020","2024","tvSeries","tt6964748","https://www.imdb.com/title/tt6964748/","Adventure","GB;US","United Kingdom;United States","GB","GB;US"
"2020","15","Jurassic World: Camp Cretaceous","7.5","13905","2020","2022","tvSeries","tt10436228","https://www.imdb.com/title/tt10436228/","Adventure","US","United States","US","US"
"2020","16","AJ and the Queen","7.5","10026","2020","2020","tvSeries","tt8404094","https://www.imdb.com/title/tt8404094/","Adventure","US","United States","US","US"
"2020","17","The Wilds","7.3","27359","2020","2022","tvSeries","tt8633062","https://www.imdb.com/title/tt8633062/","Adventure","US","United States","US","US"
"2020","18","The Baby-Sitters Club","7.3","6001","2020","2021","tvSeries","tt8690518","https://www.imdb.com/title/tt8690518/","Adventure","US","United States","US","US"
"2020","19","Barbarians","7.2","33407","2020","2022","tvSeries","tt9184986","https://www.imdb.com/title/tt9184986/","Adventure","DE","Germany","DE","DE"
"2020","20","Stargirl","7.1","22169","2020","2022","tvSeries","tt8722888","https://www.imdb.com/title/tt8722888/","Adventure","US","United States","US","US"
"2020","21","FBI: Most Wanted","6.9","13336","2020","2025","tvSeries","tt9742936","https://www.imdb.com/title/tt9742936/","Adventure","US","United States","US","US"
"2020","22","Helstrom","6.7","11269","2020","2020","tvSeries","tt10266874","https://www.imdb.com/title/tt10266874/","Adventure","US","United States","US","US"
"2020","23","Two Weeks to Live","6.7","5038","2020","2020","tvMiniSeries","tt6075088","https://www.imdb.com/title/tt6075088/","Adventure","GB","United Kingdom","GB","GB"
"2020","24","La R̩volution","6.6","7054","2020","2020","tvSeries","tt13044528","https://www.imdb.com/title/tt13044528/","Adventure","FR","France","FR","FR"
"2020","25","Amazing Stories","6.4","8108","2020","2020","tvSeries","tt5165368","https://www.imdb.com/title/tt5165368/","Adventure","US","United States","US","US"
"2020","26","October Faction","6.2","13417","2020","2020","tvSeries","tt8826128","https://www.imdb.com/title/tt8826128/","Adventure","US","United States","US","US"
"2020","27","Cursed","6","35391","2020","2020","tvSeries","tt8210856","https://www.imdb.com/title/tt8210856/","Adventure","US","United States","US","US"
"2020","28","The Letter for the King","6","8986","2020","2020","tvSeries","tt8741648","https://www.imdb.com/title/tt8741648/","Adventure","GB","United Kingdom","GB","GB"
"2020","29","The Stand","5.7","33469","2020","2021","tvMiniSeries","tt1831804","https://www.imdb.com/title/tt1831804/","Adventure","US;CA","United States;Canada","US","CA;US"
